"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"10-Feb-2020","    16481.50","    16522.40","    16306.25","    16431.90","       18044996","         1489.67"
"11-Feb-2020","    16482.40","    16512.10","    16409.15","    16452.30","       16987352","         1267.17"
"12-Feb-2020","    16462.25","    16599.05","    16419.45","    16538.10","       18606682","         1393.27"
"13-Feb-2020","    16578.75","    16696.85","    16513.75","    16673.05","       18884410","         1492.80"
"14-Feb-2020","    16682.30","    16828.20","    16624.25","    16642.75","       19636956","         1634.46"
"17-Feb-2020","    16707.65","    16737.65","    16596.20","    16647.70","       13895849","         1241.06"
"18-Feb-2020","    16586.90","    16773.20","    16526.40","    16748.75","       20798165","         1817.24"
"19-Feb-2020","    16796.40","    16882.45","    16754.25","    16772.45","       16905540","         1467.37"
"20-Feb-2020","    16826.30","    16843.65","    16623.90","    16649.40","       20306178","         1757.97"
"24-Feb-2020","    16642.75","    16749.25","    16416.85","    16461.80","       23422521","         2023.35"
"25-Feb-2020","    16490.40","    16642.40","    16443.25","    16562.50","       25320628","         2212.93"
"26-Feb-2020","    16497.15","    16539.25","    16297.25","    16332.25","       26844091","         2193.97"
"27-Feb-2020","    16244.95","    16258.65","    16053.70","    16123.80","       24504768","         1889.10"
"28-Feb-2020","    15726.15","    15788.45","    15156.80","    15212.95","       42938991","         3355.36"
"02-Mar-2020","    15355.05","    15722.00","    15298.00","    15427.65","       36517724","         2739.82"
"03-Mar-2020","    15615.05","    15793.10","    15495.70","    15723.20","       29631724","         2394.91"
"04-Mar-2020","    15824.90","    15919.95","    15612.75","    15864.30","       32079819","         2600.65"
"05-Mar-2020","    15912.05","    16150.60","    15841.10","    15871.35","       26935544","         2328.27"
"06-Mar-2020","    15607.35","    15699.95","    15443.00","    15663.45","       26044423","         2019.43"
"09-Mar-2020","    15333.55","    15371.00","    14705.40","    14854.90","       36824488","         2743.30"
"11-Mar-2020","    14524.15","    14823.80","    14356.10","    14681.40","       43270683","         3498.74"
"12-Mar-2020","    14177.40","    14231.95","    13317.65","    13384.80","       42866258","         3442.76"
"13-Mar-2020","    12561.95","    13835.35","    11624.85","    13539.10","       47446373","         3454.27"
"16-Mar-2020","    12963.70","    13078.65","    12355.15","    12451.35","       49460331","         3524.31"
"17-Mar-2020","    12517.50","    12677.20","    11999.55","    12099.25","       44085983","         2772.08"
"18-Mar-2020","    12287.80","    12451.10","    11643.90","    11753.00","       45464744","         2952.46"
"19-Mar-2020","    11183.95","    11698.30","    10991.25","    11340.00","       52457773","         2937.71"
"20-Mar-2020","    11382.40","    12710.55","    11363.50","    12363.40","       66433629","         4246.42"
"23-Mar-2020","    11328.25","    11602.45","    11108.65","    11179.60","       44666228","         2846.42"
"24-Mar-2020","    11159.75","    12053.80","    11159.30","    11865.05","       51315528","         3237.37"
"25-Mar-2020","    11856.90","    12514.25","    11657.25","    12233.35","       47599771","         2691.80"
"26-Mar-2020","    12496.95","    12751.55","    12306.35","    12535.60","       47125315","         2979.31"
"27-Mar-2020","    12778.15","    12949.60","    12403.85","    12569.10","       43319863","         2669.02"
"30-Mar-2020","    12152.95","    12774.60","    12152.95","    12318.80","       40751093","         3216.68"
"31-Mar-2020","    12681.75","    12930.80","    12466.60","    12763.65","       38751042","         2462.73"
"01-Apr-2020","    12680.50","    12690.60","    11989.60","    12045.85","       40937782","         2579.66"
"03-Apr-2020","    12129.85","    12146.95","    11621.20","    11680.05","       40624880","         2539.29"
"07-Apr-2020","    12147.00","    12647.40","    12132.30","    12588.95","       39434204","         2644.03"
"08-Apr-2020","    12468.60","    12897.50","    12437.75","    12491.55","       40359706","         2772.93"
"09-Apr-2020","    12810.80","    12867.35","    12648.80","    12728.55","       36108851","         2531.49"
"13-Apr-2020","    12698.85","    12795.70","    12527.15","    12603.10","       28465964","         1688.14"
"15-Apr-2020","    12792.45","    12951.40","    12661.00","    12702.60","       47886382","         2817.98"
"16-Apr-2020","    12430.30","    12605.40","    12205.90","    12463.60","       69388542","         3712.54"
"17-Apr-2020","    12878.35","    12992.05","    12596.65","    12649.25","       46523852","         3518.83"
"20-Apr-2020","    12812.60","    12937.95","    12742.55","    12847.65","       39177267","         2343.63"
"21-Apr-2020","    12513.65","    12632.50","    12375.80","    12408.85","       37281970","         2357.59"
"22-Apr-2020","    12393.90","    12619.45","    12322.95","    12571.30","       27595949","         1783.46"
"23-Apr-2020","    12639.80","    13199.75","    12596.60","    13128.20","       39760721","         2895.44"
"24-Apr-2020","    13001.90","    13101.40","    12792.90","    12816.20","       32522500","         2047.15"
"27-Apr-2020","    12957.35","    13248.95","    12928.05","    13121.15","       40245218","         2653.73"
"28-Apr-2020","    13301.95","    13317.20","    13067.75","    13133.65","       38809479","         2312.16"
"29-Apr-2020","    13250.60","    13470.80","    13144.80","    13424.95","       37634296","         2533.71"
"30-Apr-2020","    13841.60","    14212.10","    13750.25","    14108.35","       61232875","         4084.45"
"04-May-2020","    13646.10","    13700.25","    13424.35","    13454.25","       48661828","         2947.71"
"05-May-2020","    13637.80","    13667.85","    13351.45","    13388.00","       35386135","         2105.70"
"06-May-2020","    13437.30","    13580.05","    13262.25","    13394.70","       39758016","         2869.83"
"07-May-2020","    13408.00","    13489.55","    13268.40","    13292.70","       48556960","         2891.06"
"08-May-2020","    13509.45","    13530.85","    13324.00","    13403.60","       37686915","         2405.48"
"11-May-2020","    13521.60","    13763.80","    13489.25","    13593.55","       29773180","         1883.68"
"12-May-2020","    13537.15","    13733.50","    13480.75","    13687.75","       32012528","         2151.36"
"13-May-2020","    13960.35","    13960.35","    13612.80","    13776.95","       26694109","         1775.07"
"14-May-2020","    13396.05","    13483.70","    13246.80","    13293.70","       40148565","         2475.50"
"15-May-2020","    13375.45","    13375.80","    13108.40","    13196.35","       30451382","         2051.45"
"18-May-2020","    13278.25","    13408.80","    13109.95","    13314.40","       35386297","         2325.91"
"19-May-2020","    13272.35","    13524.20","    13197.60","    13446.60","       28258885","         1897.70"
"20-May-2020","    13443.50","    13556.90","    13362.55","    13517.35","       27891431","         1668.63"
"21-May-2020","    13495.40","    13732.00","    13468.50","    13647.90","       28463847","         1898.44"
"22-May-2020","    13622.25","    13902.80","    13571.65","    13842.65","       37846561","         2792.18"
"26-May-2020","    13860.85","    13930.85","    13522.95","    13574.95","       28744390","         2141.03"
"27-May-2020","    13667.15","    14017.05","    13488.10","    13952.90","       40527119","         2253.80"
"28-May-2020","    13964.90","    14068.30","    13759.15","    14028.60","       41069796","         2396.82"
"29-May-2020","    13893.40","    14080.55","    13762.95","    14010.50","       86621593","         5130.49"
"01-Jun-2020","    14155.65","    14431.35","    14140.85","    14307.10","       45071018","         2786.39"
"02-Jun-2020","    14358.00","    14492.30","    14269.70","    14422.40","       34083952","         2261.96"
"03-Jun-2020","    14507.25","    14549.00","    14317.20","    14361.70","       40000346","         2731.28"
"04-Jun-2020","    14380.85","    14695.10","    14380.85","    14627.45","       44632910","         3082.88"
"05-Jun-2020","    14715.90","    14732.85","    14599.75","    14627.45","       38692339","         2609.33"
"08-Jun-2020","    14824.75","    14990.25","    14713.45","    14894.60","       48671642","         2816.95"
"09-Jun-2020","    14869.40","    14983.20","    14712.30","    14737.80","       39022707","         2561.39"
"10-Jun-2020","    14774.80","    14882.60","    14690.90","    14842.05","       39353796","         2968.19"
"11-Jun-2020","    14823.95","    14840.65","    14585.45","    14619.45","       34682725","         2353.17"
"12-Jun-2020","    14125.80","    14442.65","    14123.55","    14402.75","       35505375","         2289.58"
"15-Jun-2020","    14444.25","    14571.95","    14238.05","    14396.70","       35512340","         1997.35"
"16-Jun-2020","    14634.00","    14667.40","    14375.50","    14450.80","       32450686","         2043.06"
"17-Jun-2020","    14418.80","    14559.55","    14382.95","    14478.45","       36461423","         2103.24"
"18-Jun-2020","    14478.65","    14623.95","    14443.00","    14551.25","       23438227","         1492.76"
"19-Jun-2020","    14532.70","    14625.80","    14422.45","    14499.80","       58724892","         4170.45"
"22-Jun-2020","    14537.80","    14550.35","    14432.45","    14463.65","       27930417","         1934.37"
"23-Jun-2020","    14398.45","    14725.40","    14320.70","    14680.40","       45654691","         3020.83"
"24-Jun-2020","    14675.70","    14761.20","    14547.20","    14581.45","       36295639","         2333.26"
"25-Jun-2020","    14486.40","    14590.50","    14383.60","    14411.20","       36328156","         2531.24"
"26-Jun-2020","    14496.70","    15086.00","    14476.45","    14994.65","       70776175","         5254.07"
"29-Jun-2020","    14874.20","    14979.20","    14737.45","    14768.00","       28115701","         2147.16"
"30-Jun-2020","    14812.70","    14854.40","    14692.45","    14754.30","       25878721","         2039.72"
